yyyymmdd, pH (Total scale), µatm
20190322, 8.084589286, 351.7
20190322, 8.086806897, 351.6
20190322, 8.086292308, 350.7
20190322, 8.083168966, 346.1
20190322, 8.083725, 344.5
20190322, 8.073841379, 348
20190323, 8.070146154, 352.6
20190323, 8.069365517, 355.2
20190323, 8.074886207, 358.8
20190323, 8.073096552, 365.6
20190323, 8.074738462, 365.2
20190323, 8.0765, 366
20190323, 8.076653846, 369.9
20190323, 8.076113793, 372.6
20190323, 8.076321429, 373.6
20190323, 8.075062069, 360.7
20190323, 8.0665, 363.3
20190323, 8.057933333, 351.8
20190323, 8.051713793, 352.6
20190323, 8.057023077, 346.3
20190323, 8.053962069, 354.9
20190323, 8.038582143, 366.5
20190323, 8.054706897, 361.5
20190323, 8.0633, 361
20190323, 8.067389655, 360.1
20190323, 8.074961538, 355.7
20190323, 8.085022222, 347.1
20190323, 8.073055556, 355.7
20190323, 8.076111111, 342.1
20190323, 8.074330769, 329.9
20190324, 8.074923077, 336.3
20190324, 8.071761538, 342.3
20190324, 8.059484615, 353.2
20190324, 8.057169231, 360.3
20190324, 8.054076923, 362.3
20190324, 8.063815385, 370.2
20190324, 8.065669231, 358.1
20190324, 8.067323077, 371.9
20190324, 8.068030769, 362.8
20190324, 8.065046154, 375.4
20190324, 8.065484615, 377.7
20190324, 8.065069231, 352.5
20190324, 8.070007692, 353.8
20190324, 8.074861538, 349.5
20190324, 8.077576923, 353.4
20190324, 8.070930769, 361.3
20190324, 8.061730769, 355.2
20190324, 8.102792308, 350.6
20190324, 8.079092308, 363.8
20190324, 8.101646154, 345.4
20190324, 8.074292308, 357.1
20190324, 8.072546154, 362.2
20190324, 8.081938462, 361.5
20190324, 8.077807692, 363.5
20190325, 8.087907692, 348.8
20190325, 8.074907692, 351.7
20190325, 8.066638462, 362.6
20190325, 8.058353846, 366
20190325, 8.066515385, 360
20190325, 8.066053846, 359.5
20190325, 8.067069231, 367
20190325, 8.066323077, 373.2
20190325, 8.062438462, 380
20190325, 8.058061538, 381.5
20190325, 8.074661538, 292
20190325, 8.077530769, 302.3
20190325, 8.107815385, 286.2
20190325, 8.162076923, 275.1
20190325, 8.082646154, 318.5
20190325, 8.069261538, 309.9
20190325, 8.087492308, 323.5
20190325, 8.093130769, 316
20190325, 8.098653846, 342.9
20190325, 8.079307692, 350.5
20190325, 8.094184615, 342.2
20190325, 8.104492308, 322.2
20190325, 8.111130769, 319
20190326, 8.099307692, 320.6
20190326, 8.082092308, 330.7
20190326, 8.084046154, 331.2
20190326, 8.079884615, 351.9
20190326, 8.0663, 358.8
20190326, 8.068992308, 357.9
20190326, 8.074515385, 352.9
20190326, 8.062438462, 366.9
20190326, 8.066938462, 368.2
20190326, 8.067469231, 374.1
20190326, 8.059992308, 368.7
20190326, 8.063107692, 360
20190326, 8.0837, 329.5
20190326, 8.112784615, 305.7
20190326, 8.176476923, 308.8
20190326, 8.111892308, 313.3
20190326, 8.073276923, 266.9
20190326, 8.125376923, 304.5
20190326, 8.096138462, 323
20190326, 8.101023077, 318.3
20190326, 8.106176923, 320.9
20190326, 8.082453846, 347.2
20190326, 8.101123077, 333.7
20190326, 8.084230769, 334.7
20190327, 8.095669231, 311.8
20190327, 8.114323077, 300.7
20190327, 8.105569231, 305.5
20190327, 8.102292308, 308.5
20190327, 8.099276923, 312.9
20190327, 8.0857, 332
20190327, 8.085069231, 333.7
20190327, 8.080584615, 339.6
20190327, 8.0709, 342.7
20190327, 8.069984615, 352.6
20190327, 8.076115385, 358.6
20190327, 8.074615385, 363.6
20190327, 8.064676923, 326.5
20190327, 8.0963, 295.5
20190327, 8.112384615, 297.1
20190327, 8.124461538, 296.5
20190327, 8.107538462, 311.8
20190327, 8.135676923, 312
20190327, 8.093738462, 347.7
20190327, 8.084384615, 343.6
20190327, 8.093661538, 345.6
20190327, 8.139475, 325.3
20190327, 8.1434625, 317.1
20190327, 8.110276923, 325.8
20190328, 8.119723077, 341.5
20190328, 8.09457, 350.8
20190328, 8.083084615, 360.9
20190328, 8.087676923, 351.4
20190328, 8.0885875, 356.5
20190328, 8.085223077, 358.5
20190328, 8.0761, 362.7
20190328, 8.068869231, 370.2
20190328, 8.0726875, 373.1
20190328, 8.069238462, 378
20190328, 8.069946154, 377
20190328, 8.076809091, 375.2
20190328, 8.073903333, 376.5
20190328, 8.0758625, 370.1
20190328, 8.0852125, 369.6
20190328, 8.0931125, 343.7
20190328, 8.1314375, 319.3
20190328, 8.1346625, 315.8
20190328, 8.1228125, 331.1
20190328, 8.0905, 350.4
20190328, 8.084175, 348.6
20190328, 8.1102375, 347.3
20190328, 8.103, 354.6
20190329, 8.101825, 302.2
20190329, 8.0772, 333.5
20190329, 8.08785, 332.4
20190329, 8.0971375, 358
20190329, 8.0847875, 358.7
20190329, 8.088325, 363.7
20190329, 8.081225, 370.7
20190329, 8.077925, 375.5
20190329, 8.071375, 383
20190329, 8.06485, 390.5
20190329, 8.065975, 390.9
20190329, 8.062025, 390.4
20190329, 8.0602375, 393.4
20190329, 8.0577875, 393.4
20190329, 8.0637125, 390.1
20190329, 8.0874, 340.1
20190329, 8.0838375, 346.6
20190329, 8.0795, 357.2
20190329, 8.081, 354.1
20190329, 8.0989625, 346.3
20190329, 8.0853875, 361.3
20190329, 8.0871, 354.5
20190329, 8.0999625, 343.1
20190329, 8.096525, 364.2
20190330, 8.0793125, 379.6
20190330, 8.0673125, 383.6
20190330, 8.0689, 388.3
20190330, 8.116425, 301.9
20190330, 8.1209, 303.4
