yyyymmdd, pH (Total scale), µatm
20200228, 8.109516667, 368.4
20200228, 8.102206667, 365.5
20200228, 8.098916667, 363.6
20200229, 8.10775, 358.4
20200229, 8.113133333, 356.2
20200229, 8.11277, 352.5
20200229, 8.116413333, 350.9
20200229, 8.09892, 366.6
20200229, 8.10204, 353.9
20200229, 8.105936667, 356.8
20200229, 8.09001, 355.4
20200229, 8.08724, 360.5
20200229, 8.091883333, 376.4
20200229, 8.075413333, 375.8
20200229, 8.08332, 372.4
20200229, 8.085316667, 381.5
20200229, 8.109103333, 344
20200229, 8.093173333, 362.2
20200229, 8.099516667, 371.1
20200229, 8.08708, 385.9
20200229, 8.0854, 378.1
20200229, 8.121836667, 352.4
20200229, 8.11649, 347.3
20200229, 8.09438, 358.7
20200229, 8.094583333, 374.2
20200229, 8.085103333, 390.8
20200229, 8.082736667, 379.4
20200301, 8.11369, 345.5
20200301, 8.102276667, 338.5
20200301, 8.092603333, 343.9
20200301, 8.084873333, 350.8
20200301, 8.084336667, 365.9
20200301, 8.070173333, 364.7
20200301, 8.075856667, 359.4
20200301, 8.07445, 365.1
20200301, 8.067873333, 384.7
20200301, 8.055623333, 424.4
20200301, 8.056466667, 381.5
20200301, 8.059876667, 392.2
20200301, 8.06211, 414.6
20200301, 8.10736, 335.2
20200301, 8.084313333, 343
20200301, 8.10529, 325.8
20200301, 8.09369, 341.8
20200301, 8.094483333, 358.6
20200301, 8.074893333, 366
20200301, 8.072143333, 353.3
20200301, 8.0802, 359.7
20200301, 8.077, 370.2
20200301, 8.08177, 371.1
20200301, 8.076673333, 363.8
20200302, 8.075843333, 363.1
20200302, 8.097214286, 349.6
20200302, 8.084142857, 364.7
20200302, 8.067826667, 358
20200302, 8.075686667, 354.9
20200302, 8.07085, 374.5
20200302, 8.060896667, 365.4
20200302, 8.066403333, 364.2
20200302, 8.052183333, 400.7
20200302, 8.04534, 377.9
20200302, 8.05326, 378.2
20200302, 8.050356667, 400.1
20200302, 8.058666667, 403.3
20200302, 8.056816667, 393.7
20200302, 8.059463333, 370.3
20200302, 8.071714286, 361
20200302, 8.058573333, 382.2
20200302, 8.053916667, 387.9
20200302, 8.045656667, 401.3
20200302, 8.046783333, 406.6
20200302, 8.068296667, 388.8
20200302, 8.057936, 387.7
20200302, 8.051453333, 385.8
20200302, 8.053303333, 384.3
20200303, 8.059866667, 395.6
20200303, 8.052853333, 389.5
20200303, 8.056233333, 383.6
20200303, 8.068546667, 371.3
20200303, 8.050744, 392.1
20200303, 8.046344, 392.9
20200303, 8.043392, 393.5
20200303, 8.04694, 394.5
20200303, 8.047912, 381.8
20200303, 8.04232, 388.6
20200303, 8.038448, 400.3
20200303, 8.04624, 399.3
20200303, 8.040944, 404.8
20200303, 8.068724, 373.1
20200303, 8.055588, 371.8
20200303, 8.051032, 378.7
20200303, 8.048304, 379.9
20200303, 8.050485714, 384.2
20200303, 8.04602, 393.8
20200303, 8.045184, 390.6
20200303, 8.055072, 397.3
20200303, 8.049644, 397.7
20200303, 8.04808, 397.3
20200304, 8.047672, 401.5
20200304, 8.049285714, 410
20200304, 8.03382, 414.1
20200304, 8.046344, 412.3
20200304, 8.05388, 410.4
20200304, 8.043404, 418
20200304, 8.028132, 419.6
20200304, 8.028228, 414.3
20200304, 8.0415, 418.1
20200304, 8.028184, 420.4
20200304, 8.021628, 418.4
20200304, 8.015332, 426.5
20200304, 8.025828571, 422.5
20200304, 8.021641667, 426.3
20200304, 8.028908333, 415
20200304, 8.039683333, 403.6
20200304, 8.058275, 387.7
20200304, 8.050175, 393.4
20200304, 8.046783333, 392.8
20200304, 8.044566667, 400.5
20200304, 8.037757143, 406.6
20200304, 8.0386, 409
20200304, 8.042433333, 418.8
20200304, 8.025733333, 428.6
20200305, 8.02225, 431.6
20200305, 8.0138, 435.7
20200305, 8.012048, 435.4
20200305, 8.024084, 439.7
20200305, 8.027136, 439.6
20200305, 8.048216, 413.2
20200305, 8.01856, 428.4
20200305, 8.02022, 431.6
20200305, 8.015284, 439.2
20200305, 8.012556, 438.3
20200305, 8.027494737, 437.6
20200305, 8.017212, 442.5
20200305, 8.00834, 452.5
20200305, 8.012452, 450.4
20200305, 8.012188, 445.1
20200305, 8.013416, 400.4
20200305, 8.065015789, 381.9
20200305, 8.041672, 394.7
20200305, 8.036436, 391.8
20200305, 8.0358, 396.5
20200305, 8.018308, 413.1
20200305, 8.00438, 416.6
20200305, 8.0012125, 422.4
20200305, 8.00566, 412.8
20200306, 8.018971429, 417.4
20200306, 8.0104, 423
20200306, 8.00328125, 433.5
20200306, 8.00328, 438.7
20200306, 8.011466667, 438.1
20200306, 8.04351, 392
20200306, 8.01737, 396.5
20200306, 7.9953125, 434.5
20200306, 7.98885, 436.6
20200306, 7.993484, 444
20200306, 7.994325, 456.8
20200306, 8.020116667, 436.2
20200306, 7.998375, 449.9
20200306, 7.988142857, 450
20200306, 8.011028571, 442.8
20200306, 8.027128571, 427.4
20200306, 8.011971429, 427.8
20200306, 8.008728571, 416.7
20200306, 8.046728571, 340.4
20200306, 8.045371429, 378.5
20200306, 8.067685714, 346.8
20200306, 8.026385714, 401.5
20200306, 8.016042857, 404.6
20200307, 8.020528571, 428.5
20200307, 8.009985714, 432.2
20200307, 8.016471429, 430.3
20200307, 8.015657143, 415.5
20200307, 8.016971429, 406.4
20200307, 8.035728571, 401.2
20200307, 8.029828571, 427.1
20200307, 8.037342857, 407.3
20200307, 8.035171429, 411.6
20200307, 8.033571429, 414.9
20200307, 8.028257143, 418.3
20200307, 8.022514286, 422.9
20200307, 8.018971429, 432
20200307, 8.020585714, 433.4
20200307, 8.017728571, 430.1
20200307, 8.030528571, 430.8
20200307, 8.028371429, 426.6
20200307, 8.031871429, 433.6
20200307, 8.034614286, 421.5
20200307, 8.044814286, 403.3
20200307, 8.059771429, 389.4
20200307, 8.055271429, 371.6
20200307, 8.037942857, 404.4
20200307, 8.035114286, 415.2
20200308, 8.023171429, 428.9
20200308, 8.011785714, 444.3
20200308, 8.017, 444.6
20200308, 8.016957143, 446.8
20200308, 8.017628571, 447.1
20200308, 8.022385714, 448.8
20200308, 8.019858333, 443.4
20200308, 8.038571429, 442.3
20200308, 8.0242, 454.2
20200308, 8.013371429, 448
20200308, 8.032185714, 457.3
20200308, 8.02395, 454.9
20200308, 8.025485714, 468.5
20200308, 8.030991667, 472.7
20200308, 8.018125, 471.3
20200308, 8.016783333, 477.3
20200308, 8.016614286, 475.1
20200308, 8.036716667, 457.7
20200308, 8.032042857, 458.1
20200308, 8.054558333, 430.6
20200308, 8.040333333, 414.3
20200308, 8.057983333, 392.1
20200308, 8.048985714, 418.5
20200308, 8.038741667, 441.8
20200309, 8.042566667, 450.5
20200309, 8.029041667, 469.7
20200309, 8.026016667, 474.5
20200309, 8.032683333, 479.3
20200309, 8.013291667, 491.4
20200309, 8.014891667, 498.2
20200309, 8.0241, 502.3
20200309, 8.01515, 497.3
20200309, 8.019091667, 494.5
20200309, 8.041116667, 461.6
20200309, 8.025508333, 446.7
20200309, 8.019983333, 457.9
20200309, 8.015425, 468.9
20200309, 8.011408333, 480.5
20200309, 8.037191667, 474.3
20200309, 8.020658333, 484.7
20200309, 8.015325, 488.7
20200309, 8.015025, 493.4
20200309, 8.021925, 492
20200309, 8.015491667, 480.7
20200309, 8.026758333, 411.6
20200309, 8.03965, 432.1
20200309, 8.034341667, 431.4
20200309, 8.026208333, 460.1
20200310, 8.017166667, 467.9
20200310, 8.022183333, 476.1
20200310, 8.020366667, 487.7
20200310, 8.031533333, 502.4
20200310, 8.021133333, 508.8
20200310, 8.013816667, 510.9
20200310, 8.017141667, 507.4
20200310, 8.019325, 501.7
20200310, 8.041875, 479.8
20200310, 8.023166667, 462.2
20200310, 8.012525, 444.4
20200310, 8.026833333, 434.3
20200310, 8.006341667, 480.7
20200310, 7.996116667, 486.5
20200310, 8.00815, 491.3
20200310, 8.008641667, 502.1
20200310, 8.00155, 506.2
20200310, 8.004566667, 513
20200310, 8.019208333, 513.6
20200310, 8.017391667, 500.6
20200310, 8.084583333, 457.6
20200310, 8.039825, 430.2
20200310, 8.022625, 456.4
20200311, 8.007716667, 471.9
20200311, 8.009608333, 483.3
20200311, 8.011008333, 500.8
20200311, 8.008825, 501.5
20200311, 8.013175, 513.1
20200311, 8.014175, 509.8
20200311, 8.015641667, 512.3
20200311, 8.013, 511.6
20200311, 8.012941667, 526.8
20200311, 8.041875, 463.7
20200311, 8.023975, 435.4
20200311, 8.038858333, 414.1
20200311, 8.013416667, 440.9
20200311, 8.013716667, 452.9
20200311, 8.024458333, 471.3
20200311, 8.007508333, 489.8
20200311, 8.018116667, 485.1
20200311, 8.018766667, 509.3
20200311, 8.0091, 513.5
20200311, 8.019258333, 505.1
20200311, 8.02005, 497.9
20200311, 8.026611111, 464.2
20200311, 8.060466667, 443.8
20200311, 8.028758333, 463
20200312, 8.031325, 468.5
20200312, 8.011166667, 491.1
20200312, 7.999233333, 506.7
20200312, 8.003616667, 516.6
20200312, 8.010033333, 518.8
20200312, 8.010666667, 525.7
20200312, 8.010866667, 531.3
20200312, 8.007575, 530.4
20200312, 8.007958333, 545.9
20200312, 8.026766667, 480.4
20200312, 8.031558333, 438.9
20200312, 8.039441667, 414.1
20200312, 8.039866667, 402.6
20200312, 8.032333333, 400.4
20200312, 8.032577778, 435.8
20200312, 8.012055556, 462.5
20200312, 8.023344444, 477.8
20200312, 8.0202, 496.2
20200312, 8.0209, 515.1
20200312, 8.008044444, 527
20200312, 8.011044444, 541.4
20200312, 8.019444444, 538.6
20200312, 8.015644444, 520.3
20200312, 8.058216667, 486.5
20200313, 8.038033333, 462.8
20200313, 8.026633333, 479.8
20200313, 8.015122222, 503.6
20200313, 8.015377778, 525
20200313, 8.006911111, 533.1
20200313, 8.016703333, 533.1
20200313, 8.019513333, 556.4
20200313, 8.00603, 558.2
20200313, 8.012693333, 558
20200313, 8.01892, 549.9
20200313, 8.024383333, 546.5
20200313, 8.021066667, 515.4
20200313, 8.03213, 450.6
20200313, 8.026646667, 440.2
20200313, 8.024286667, 463.4
20200313, 8.022973333, 490.3
20200313, 8.01853, 510.3
20200313, 8.01068, 515.3
20200313, 8.0271, 515.9
20200313, 8.027026667, 515.3
20200313, 8.025073333, 500.8
20200313, 8.021283333, 498.8
20200313, 8.023446667, 499
20200314, 8.040316667, 425.1
