yyyymmdd, pH (Total scale), µatm
20180906, 7.72765, 481
20180906, 7.7445666666666675, 574.7
20180906, 7.883753333333335, 624.8
20180906, 7.895206666666666, 616.8
20180906, 7.903846666666666, 627.2
20180906, 7.907823333333332, 633.8
20180907, 7.810576666666667, 620.8
20180907, 7.836789999999999, 621.4
20180907, 7.733930000000001, 627.3
20180907, 7.7019633333333335, 629.7
20180907, 7.763603333333332, 633
20180907, 7.888569999999998, 615.3
20180907, 7.902286666666666, 640.9
20180907, 7.887133333333335, 624.7
20180907, 7.841289999999999, 637.3
20180907, 7.794543333333334, 654.7
20180907, 7.822550000000001, 660
20180907, 7.836189999999999, 687.9
20180907, 7.8140133333333335, 654.6
20180907, 7.7094533333333315, 638.1
20180907, 7.74984, 635.1
20180907, 7.80962, 625.1
20180907, 7.875396666666665, 613.4
20180907, 7.940406666666667, 429
20180907, 7.928879999999999, 554.2
20180907, 7.920133333333336, 554.8
20180907, 7.894189999999999, 580.4
20180907, 7.898506666666667, 603.2
20180907, 7.897726666666666, 616.3
20180908, 7.869556666666665, 624.6
20180908, 7.802940000000001, 606.3
20180908, 7.599019999999999, 593.5
20180908, 7.829416666666665, 592.5
20180908, 7.832793333333332, 581.1
20180908, 7.847193333333332, 576.2
20180908, 7.851039999999999, 597.7
20180908, 7.880196666666666, 607.2
20180908, 7.867833333333333, 609.3
20180908, 7.866736666666665, 657
20180908, 7.8610533333333334, 633.9
20180908, 7.8682066666666675, 651.1
20180908, 7.868526666666667, 644.3
20180908, 7.82748, 624.8
20180908, 7.706779999999999, 631.5
20180908, 7.621499999999998, 612.9
20180908, 7.860566666666668, 601.2
20180908, 7.89993666666667, 596.5
20180908, 7.880206666666667, 623.7
20180908, 7.911843333333334, 569.2
20180908, 7.9100166666666665, 581.4
20180908, 7.8869799999999985, 600.1
20180908, 7.8908966666666664, 586.3
20180908, 7.8662566666666685, 621.7
20180909, 7.876003333333333, 645.6
20180909, 7.836343333333333, 610.9
20180909, 7.856253333333334, 611.6
20180909, 7.751429999999999, 624.2
20180909, 7.895673333333331, 622.9
20180909, 7.867213333333334, 637.9
20180909, 7.873286666666666, 624
20180909, 7.881313333333333, 634.4
20180909, 7.899469999999999, 627.6
20180909, 7.881056666666667, 626
20180909, 7.845056666666667, 621.4
20180909, 7.882713333333333, 661.4
20180909, 7.898486666666666, 635.4
20180909, 7.883080000000001, 635.4
20180909, 7.920336666666668, 620.4
20180909, 7.8841866666666665, 615.9
20180909, 7.903986666666667, 602.4
20180909, 7.923586666666667, 603.4
20180909, 7.92921, 599.3
20180909, 7.92483, 600.8
20180909, 7.964423333333332, 541.2
20180909, 7.963166666666667, 570.8
20180909, 7.936999999999999, 586.5
20180909, 7.9207800000000015, 617
20180910, 7.909396666666664, 623.8
20180910, 7.865406666666667, 610.6
20180910, 7.9163499999999996, 609
20180910, 7.9074833333333325, 615.5
20180910, 7.866593333333333, 609.1
20180910, 7.93251, 611.3
20180910, 7.908449999999998, 606
20180910, 7.9158599999999995, 624.7
20180910, 7.912983333333331, 646.3
20180910, 7.917740000000001, 618.1
20180910, 7.916216666666668, 614.1
20180910, 7.904316666666667, 617.5
20180910, 7.886833333333332, 624.7
20180910, 7.895533333333333, 654.4
20180910, 7.9133266666666655, 620.6
20180910, 7.853373333333332, 598.5
20180910, 7.693500000000001, 614.9
20180910, 7.905643333333332, 608.3
20180910, 7.91628, 602.8
20180910, 7.927273333333335, 600.2
20180910, 7.929083333333333, 583.3
20180910, 7.953006666666669, 550.8
20180910, 7.934073333333333, 593.9
20180910, 7.907773333333335, 598.7
20180911, 7.8917466666666645, 606.1
20180911, 7.875543333333332, 653.6
20180911, 7.860676666666666, 624.4
20180911, 7.881666666666667, 612.4
20180911, 7.884480000000002, 605.6
20180911, 7.903459999999999, 602.4
20180911, 7.903526666666667, 508.8
20180911, 7.912213333333336, 590.1
20180911, 7.902199999999999, 585.6
20180911, 7.893569999999998, 593.9
20180911, 7.89947, 598.9
20180911, 7.872423333333334, 612.9
20180911, 7.859556666666666, 621.4
20180911, 7.870646666666668, 621.2
20180911, 7.868703333333332, 607.5
20180911, 7.870816666666667, 599.9
20180911, 7.8829433333333325, 569.8
20180911, 7.9132, 566.8
20180911, 7.905370000000001, 575.4
20180911, 7.921783333333334, 573.9
20180911, 7.924556666666666, 572.9
20180911, 7.948499999999999, 581
20180911, 7.907133333333335, 601.4
20180912, 7.884843333333333, 608.7
20180912, 7.886676666666665, 610
20180912, 7.887260000000002, 624.8
20180912, 7.87785, 650.3
20180912, 7.865513333333333, 603.9
20180912, 7.87267, 617.5
20180912, 7.898316666666667, 602.2
20180912, 7.914756666666666, 593.6
20180912, 7.919743333333335, 605.5
20180912, 7.892776666666665, 616
20180912, 7.883793333333332, 650.8
20180912, 7.869209999999999, 675
20180912, 7.8588466666666665, 662.4
20180912, 7.857003333333335, 660.3
20180912, 7.857143333333335, 647.7
20180912, 7.861033333333331, 663.2
20180912, 7.865736666666665, 627.3
20180912, 7.8815500000000025, 609.1
20180912, 7.850476666666666, 606.9
20180912, 7.888623333333334, 609.3
20180912, 7.910663333333335, 600.5
20180912, 7.906866666666668, 594.8
20180912, 7.91276, 594.8
20180912, 7.904573333333334, 607.5
20180913, 7.888076666666665, 635.9
20180913, 7.875353333333335, 645.4
20180913, 7.864563333333333, 655.5
20180913, 7.869953333333333, 654.1
20180913, 7.86896, 656
20180913, 7.869996666666666, 648.7
20180913, 7.85177, 622.4
20180913, 7.8293566666666665, 612.8
20180913, 7.849576666666667, 617.5
20180913, 7.839413333333334, 613
20180913, 7.8791633333333335, 612.9
20180913, 7.889896666666664, 650.9
20180913, 7.871396666666666, 659.2
20180913, 7.851476666666665, 676.4
20180913, 7.840333333333332, 654.2
20180913, 7.861203333333332, 644.9
20180913, 7.867763333333333, 652.5
20180913, 7.861110000000001, 635.6
20180913, 7.844416666666666, 615.1
20180913, 7.845870000000001, 608.5
20180913, 7.887263333333333, 604.8
20180913, 7.910693333333335, 600.7
20180913, 7.917056666666668, 595.3
20180913, 7.916846666666669, 599
20180914, 7.914373333333333, 625.9
20180914, 7.8949233333333355, 639
20180914, 7.8822633333333325, 650.8
20180914, 7.868073333333332, 659.4
20180914, 7.865783333333332, 673.5
20180914, 7.862709999999999, 648.7
20180914, 7.85838, 631.4
20180914, 7.838276666666666, 616
20180914, 7.885470000000001, 602
20180914, 7.898896666666667, 604.3
20180914, 7.907089999999999, 613.8
20180914, 7.904843333333334, 650.2
20180914, 7.888739999999999, 643.4
20180914, 7.875836666666668, 653
20180914, 7.866366666666665, 653.8
20180914, 7.871549999999998, 638.4
20180914, 7.873566666666666, 634.7
20180914, 7.872939999999999, 631.7
20180914, 7.876000000000002, 632.7
20180914, 7.873293333333335, 514.2
20180914, 7.890543333333334, 578.5
20180914, 7.903273333333333, 591.6
20180914, 7.906146666666667, 596.3
20180915, 7.906636666666666, 604.5
20180915, 7.887856666666666, 634.7
20180915, 7.87819, 630.4
20180915, 7.87561, 654.3
20180915, 7.869996666666667, 620.3
20180915, 7.874349999999998, 642
20180915, 7.865683333333336, 629.5
20180915, 7.860326666666667, 629.9
20180915, 7.851556666666667, 614.6
20180915, 7.882133333333333, 595.7
20180915, 7.892046666666667, 599.9
20180915, 7.888509999999998, 605.1
20180915, 7.886646666666666, 605.8
20180915, 7.887483333333333, 629.7
20180915, 7.874503333333334, 643
20180915, 7.865403333333333, 630.5
20180915, 7.868199999999999, 629.6
20180915, 7.877836666666664, 626.3
20180915, 7.885429999999999, 642.8
20180915, 7.886210000000001, 618.4
20180915, 7.871446666666666, 616.3
20180915, 7.868803333333333, 609.2
20180915, 7.870450000000001, 615.3
20180915, 7.867036666666668, 612
20180916, 7.872913333333331, 606.6
20180916, 7.875440000000001, 623.1
20180916, 7.871579999999999, 633.6
20180916, 7.855180000000001, 623.3
20180916, 7.865406666666666, 664.9
20180916, 7.842923333333332, 687.3
20180916, 7.849236666666668, 657.9
20180916, 7.85672, 670
20180916, 7.85176, 690.4
20180916, 7.839049999999999, 655.7
20180916, 7.857186666666667, 625.5
20180916, 7.877750000000001, 624.6
20180916, 7.877376666666667, 632.5
20180916, 7.88273, 622.2
